Item,Description,Qty,Total Price (Without Tax or Shipping),Source
Microcontroller,Seeed Studio XIAO RP2040,1,$3.99,https://www.seeedstudio.com/XIAO-RP2040-v1-0-p-5026.html
Keycaps,Cherry MX Keycap - R2 (Opaque Black),6,$6.30,https://www.sparkfun.com/cherry-mx-keycap-r2-opaque-black.html
Switches,Cherry MX Brown 55g Tactile Switch,6,"$0.40",https://mechanicalkeyboards.com/products/cherry-mx-brown-55g-tactile
OLED Display,"0.91\" I2C OLED Display (SSD1306, 128×32, 4-pin)",1,$2.25,https://www.aliexpress.us/item/3256804537576401.html
Rotary Encoder,"EC11 rotary encoder (D-shaft, 5-pin, with push switch)",1,$2.03,https://www.aliexpress.us/item/3256807756958688.html
Rotary Encoder Knob,6mm D-shaft rubber encoder knob (11.5mm diameter),1,$0.75,https://www.adafruit.com/product/5093
Screws,M3 x 8mm Socket Button Head Screws,4,"$0.80","https://www.albanycountyfasteners.com/m3-050-x-8mm-button-head-socket-cap-screws-zinc-plated-steel-1111-150-0012/"
Cable,USB-C to USB-A Cable (3ft),1,"$5.14","https://www.walmart.com/ip/Auto-Drive-USB-C-to-USB-A-3ft-Charging-Data-Sync-Cable-PVC-Black-Single-Pack/245525955"
PCB,Custom-designed PCB,1,$15.00 (Estimate),N/A
3D Printed Case,"3D printed PLA case (Top and Bottom, Outsourced Printing)",1,"$10.00 (Estimate)",N/A
Total,The total cost needed to make the HexPad,N/A,$46.66,N/A
